idProducto,nombreProducto,descripcion,precio,stock,categoria
1,Laptop Dell XPS 15,Portatil con procesador Intel i7 y 16GB RAM,7500000.00,25,Ropa
2,Smartphone Samsung S23,Telefono de alta gama con 256GB almacenamiento,4800000.00,40,Hogar
3,Teclado Mecanico HyperX,Teclado mec nico RGB para gaming,350000.00,60,Deportes
4,Mouse Logitech G502,Mouse ergon¢mico con sensor de alta precision,290000.00,50,Alimentos
"5,Monitor LG 27"" 4K,Pantalla UHD con tecnolog¡a IPS,1800000.00,30,Electr¢nica"
6,Disco Duro SSD 1TB,Unidad de almacenamiento s¢lida r pida y confiable,550000.00,45,Ropa
7,Impresora HP LaserJet,Impresora l ser monocrom tica de alta velocidad,820000.00,20,Hogar
8,Auriculares Sony WH-1000XM4,Auriculares inal mbricos con cancelaci¢n de ruido,1200000.00,35,Deportes
9,Silla Gamer Cougar Armor,Silla ergon¢mica con soporte lumbar,950000.00,15,Alimentos
10,Tablet Apple iPad Air,Pantalla Retina y procesador M1,3400000.00,25,Electr¢nica
11,C mara Canon EOS R5,C mara mirrorless de 45MP,12500000.00,10,Ropa
12,Microondas LG 25L,Microondas con grill y m£ltiples funciones,420000.00,30,Hogar
13,Refrigerador Samsung 500L,Nevera No Frost con dispensador de agua,3600000.00,12,Deportes
"14,Smart TV Sony 55"",Televisor 4K con Android TV,4500000.00,20,Alimentos"
15,Reloj Inteligente Apple Watch,Serie 8 con GPS y resistencia al agua,2100000.00,40,Electr¢nica
16,Barra de Sonido Bose,Sonido envolvente con conectividad Bluetooth,1300000.00,18,Ropa
17,Consola PlayStation 5,Nueva generaci¢n de videojuegos,3000000.00,22,Hogar
18,Joystick Xbox Elite,Control profesional con botones programables,800000.00,25,Deportes
19,Cargador R pido Samsung 25W,Compatible con USB-C y carga r pida,120000.00,55,Alimentos
20,Router TP-Link AX1800,WiFi 6 con alta velocidad y cobertura,450000.00,28,Electr¢nica
21,Set de Ollas Tefal,Juego de cocina con antiadherente,320000.00,35,Ropa
22,Ventilador de Torre,Oscilaci¢n y control remoto,280000.00,30,Hogar
23,Cafetera Nespresso,M quina de caf‚ con sistema de c psulas,650000.00,25,Deportes
24,Aspiradora Xiaomi Robot,Aspiradora inteligente con mapeo,1100000.00,15,Alimentos
25,Escritorio de Oficina,Madera y metal con dise¤o moderno,570000.00,20,Electr¢nica
26,L mpara LED Philips,Luz blanca ajustable para escritorio,95000.00,40,Ropa
27,Parlantes JBL Charge 5,Parlante port til resistente al agua,620000.00,30,Hogar
28,Disco Externo 2TB,Almacenamiento port til con USB 3.0,380000.00,50,Deportes
29,Smartphone iPhone 14,Nuevo modelo con A15 Bionic,5500000.00,25,Alimentos
"30,Monitor Curvo Samsung 32"",Pantalla Full HD con 165Hz,2000000.00,22,Electr¢nica"
31,Tablet Samsung Galaxy Tab S8,Pantalla AMOLED de 11 pulgadas con S Pen,3200000.00,20,Ropa
32,Bicicleta El‚ctrica Xiaomi,Bicicleta plegable con asistencia el‚ctrica,4500000.00,15,Hogar
33,C mara GoPro Hero 11,C mara de acci¢n con grabaci¢n 5K,2100000.00,18,Deportes
34,Freidora de Aire Ninja,Freidora sin aceite con capacidad de 5.5L,550000.00,30,Alimentos
35,Laptop Lenovo ThinkPad X1,Ultrabook con procesador Intel i7,6700000.00,10,Electr¢nica
36,Aud¡fonos inal mbricos JBL Tune,Bluetooth y resistencia al agua,300000.00,40,Ropa
"37,Monitor Dell 24"",Pantalla IPS con resoluci¢n Full HD,1100000.00,25,Hogar"
38,Smartwatch Samsung Galaxy Watch 5,Reloj inteligente con monitoreo de salud,1400000.00,30,Deportes
39,Lavadora LG 20Kg,Carga frontal con tecnolog¡a Inverter,4200000.00,12,Alimentos
40,Consola Xbox Series X,éltima generaci¢n con 1TB SSD,3200000.00,22,Electr¢nica
41,Mouse Razer DeathAdder,Mouse gamer con sensor ¢ptico de 20K DPI,280000.00,50,Ropa
42,C mara de Seguridad EZVIZ,C mara IP con visi¢n nocturna y detecci¢n de movimiento,380000.00,40,Hogar
43,Router ASUS RT-AX86U,WiFi 6 para gaming y streaming 4K,920000.00,18,Deportes
44,Teclado Logitech MX Keys,Teclado inal mbrico con retroiluminaci¢n,500000.00,25,Alimentos
45,Estufa de Inducci¢n Whirlpool,Cocina r pida y eficiente,3100000.00,10,Electr¢nica
"46,Monitor Gamer AOC 27"",144Hz con tecnolog¡a FreeSync,1750000.00,22,Ropa"
47,Aire Acondicionado LG Dual Inverter,12,000 BTU con eficiencia energ‚tica,3400000.00,15,Hogar
48,Impresora Epson EcoTank L3210,Impresora multifuncional con sistema de tanque de tinta,720000.00,20,Deportes
49,Cepillo de Dientes El‚ctrico Oral-B,Recargable con m£ltiples modos de limpieza,220000.00,35,Alimentos
50,Mochila Antirrobo Samsonite,Dise¤o resistente con puerto USB,380000.00,28,Electr¢nica
"51,Smart TV Hisense 50"",4K UHD con Dolby Vision,2300000.00,20,Ropa"
52,Tostadora Philips,Doble entrada para pan con temperatura ajustable,180000.00,30,Hogar
53,Smart Lock Yale,Cerradura inteligente con acceso biom‚trico,870000.00,12,Deportes
54,Cargador Inal mbrico Belkin,Carga r pida para dispositivos Qi,250000.00,40,Alimentos
55,Auriculares Bose QuietComfort,Cancelaci¢n de ruido y sonido premium,1450000.00,18,Electr¢nica
56,Kit de Luces LED Nanoleaf,Paneles de iluminaci¢n RGB personalizables,1950000.00,15,Ropa
57,Altavoz Inteligente Google Nest,Control por voz con Google Assistant,490000.00,35,Hogar
58,Microondas Panasonic 32L,Microondas con tecnolog¡a Inverter,650000.00,22,Deportes
59,Set de Cubiertos Tramontina,Acero inoxidable con dise¤o elegante,210000.00,50,Alimentos
60,Smartphone OnePlus 11,Celular de gama alta con Snapdragon 8 Gen 2,4400000.00,20,Electr¢nica
61,Smartphone Google Pixel 7,Celular con Android puro y c mara avanzada,3600000.00,25,Ropa
62,Cafetera Nespresso Vertuo,Sistema de c psulas con espumador de leche,980000.00,30,Hogar
63,Silla Gamer Secretlab Titan,Ergon¢mica con soporte lumbar ajustable,2200000.00,15,Deportes
64,Refrigerador Samsung French Door,Capacidad de 700L con dispensador de agua,7200000.00,10,Alimentos
65,Licuadora Oster Pro,700W con vaso de vidrio resistente,350000.00,40,Electr¢nica
66,Reloj Inteligente Amazfit GTR 4,Bater¡a de larga duraci¢n y GPS,880000.00,35,Ropa
67,Disco Duro Externo WD 2TB,Almacenamiento port til con USB 3.0,420000.00,50,Hogar
68,Bocina Bluetooth Sony SRS-XB43,Sonido potente con bajos mejorados,780000.00,30,Deportes
69,Aspiradora Robot Roomba i7,Mapeo inteligente y control por app,2700000.00,20,Alimentos
70,Parrilla El‚ctrica George Foreman,Antiadherente con reducci¢n de grasa,480000.00,25,Electr¢nica
71,Consola Nintendo Switch OLED,Edici¢n mejorada con pantalla m s vibrante,2200000.00,30,Ropa
72,SSD NVMe Samsung 980 Pro 1TB,Velocidad de lectura de hasta 7000MB/s,660000.00,40,Hogar
73,Set de Maletas Samsonite,Tres piezas con candado TSA,850000.00,18,Deportes
74,C mara Canon EOS R5,Mirrorless profesional con 45MP y 8K,11800000.00,8,Alimentos
75,L mpara de Escritorio LED,Iluminaci¢n regulable con puerto USB,180000.00,50,Electr¢nica
"76,Monitor Ultrawide LG 34"",Panel IPS curvo con resoluci¢n QHD,2350000.00,22,Ropa"
77,Echo Dot 5ta Generaci¢n,Asistente de voz con Alexa,380000.00,40,Hogar
78,Teclado Mec nico Corsair K95,Switches Cherry MX y retroiluminaci¢n RGB,960000.00,25,Deportes
79,Set de Ollas T-Fal,Revestimiento antiadherente con tapas de vidrio,530000.00,30,Alimentos
80,Bater¡a Externa Anker 20000mAh,Carga r pida con doble puerto USB,220000.00,50,Electr¢nica
81,Cargador GaN 65W Ugreen,Carga r pida para laptops y smartphones,310000.00,45,Ropa
82,Aire Acondicionado Port til Midea,12,000 BTU con control remoto,2200000.00,12,Hogar
83,C mara de Videovigilancia TP-Link,Resistente al agua con detecci¢n de movimiento,350000.00,30,Deportes
84,Cepillo Facial Foreo Luna 3,Limpieza profunda con tecnolog¡a s¢nica,780000.00,28,Alimentos
85,Hervidor de Agua Xiaomi Mi,1.5L con control de temperatura,190000.00,50,Electr¢nica
86,Mochila para Laptop Thule,Resistente al agua y con compartimento acolchado,430000.00,22,Ropa
87,Set de Brochas de Maquillaje,10 piezas con estuche profesional,250000.00,35,Hogar
88,Impresora L ser Brother HL-L2350DW,Impresi¢n r pida y conexi¢n WiFi,570000.00,18,Deportes
89,Base Refrigerante para Laptop,Con ventiladores LED y ajuste de altura,160000.00,40,Alimentos
90,M quina para Hacer Helado Cuisinart,1.5L con sistema de congelaci¢n r pida,520000.00,25,Electr¢nica
91,Termo Stanley 1.2L,Aislamiento t‚rmico por 24 horas,320000.00,45,Ropa
92,Zapatillas Deportivas Nike Air Zoom,Amortiguaci¢n y dise¤o transpirable,620000.00,35,Hogar
93,Reloj Casio G-Shock,Resistente al agua y a impactos,550000.00,30,Deportes
94,Mini Proyector Anker Nebula,Proyecci¢n Full HD port til con Android TV,1800000.00,20,Alimentos
95,Silla de Oficina Ergohuman,Soporte lumbar y ajustes personalizados,1900000.00,12,Electr¢nica
"96,Monitor 4K BenQ 32"",Pantalla UHD con tecnolog¡a HDR,2600000.00,18,Ropa"
97,Kit de Carga para PlayStation 5,Base de carga dual para controles,220000.00,40,Hogar
98,Cafetera Italiana Bialetti,6 tazas de espresso en aluminio,210000.00,50,Deportes
"99,Smart TV Sony Bravia 55"",4K con tecnolog¡a OLED y Dolby Atmos,5600000.00,15,Alimentos"
